encoding,workload,ts_model,chunk_size,len,data_size,size,bytes_per_sample,ratio,capacity_4k
dexor,bursty,regular,4k,617,4096,4272,6.638574,2.410156,617
dexor,constant,regular,4k,10895,4096,4272,0.375952,42.558594,10895
dexor,constant_int,regular,4k,10894,4096,4272,0.375987,42.554688,10894
dexor,counter,regular,4k,2603,4096,4272,1.573569,10.167969,2603
dexor,discrete,regular,4k,2409,4096,4272,1.700291,9.410156,2409
dexor,drift,irregular,1k,108,1026,2224,9.500000,1.684211,642
dexor,drift,irregular,4k,462,4096,4272,8.865801,1.804688,642
dexor,drift,irregular,64k,7378,65538,131248,8.882895,1.801215,642
dexor,drift,jitter,1k,124,1024,1200,8.258065,1.937500,642
dexor,drift,jitter,4k,513,4101,8368,7.994152,2.001463,642
dexor,drift,jitter,64k,8432,65537,131248,7.772415,2.058562,642
dexor,drift,regular,1k,147,1027,2224,6.986395,2.290166,642
dexor,drift,regular,4k,642,4098,8368,6.383178,2.506589,642
dexor,drift,regular,64k,10606,65537,131248,6.179238,2.589316,642
dexor,noisy,irregular,1k,103,1024,1200,9.941748,1.609375,560
dexor,noisy,irregular,4k,413,4100,8368,9.927361,1.611707,560
dexor,noisy,irregular,64k,6629,65536,65712,9.886257,1.618408,560
dexor,noisy,jitter,1k,115,1032,2224,8.973913,1.782946,560
dexor,noisy,jitter,4k,459,4096,4272,8.923747,1.792969,560
dexor,noisy,jitter,64k,7354,65540,131248,8.912157,1.795301,560
dexor,noisy,regular,1k,140,1031,2224,7.364286,2.172648,560
dexor,noisy,regular,4k,560,4101,8368,7.323214,2.184833,560
dexor,noisy,regular,64k,8980,65538,131248,7.298218,2.192316,560
dexor,periodic,regular,4k,571,4096,4272,7.173380,2.230469,571
gorilla,bursty,regular,4k,629,4097,8368,6.513514,2.456432,629
gorilla,constant,regular,4k,16318,4096,4272,0.251011,63.742188,16318
gorilla,constant_int,regular,4k,16318,4096,4272,0.251011,63.742188,16318
gorilla,counter,regular,4k,2168,4097,8368,1.889760,8.466683,2168
gorilla,discrete,regular,4k,3201,4097,8368,1.279913,12.500854,3201
gorilla,drift,irregular,1k,113,1030,2224,9.115044,1.755340,629
gorilla,drift,irregular,4k,452,4100,8368,9.070796,1.763902,629
gorilla,drift,irregular,64k,7214,65543,131248,9.085528,1.761042,629
